Configuration,Type,Width,Length,Area,Hire_Unit_Rate,Total_Hire_Rate,Labour_Rate,Labour_Total,Number_of_Legs,Weight_per_Leg,Total_Weight,Weight_Size,Total_Number_of_weights,Cost_per_weight,Labour_Per_Weight,Fire_Extinguisher_Qty,Fire_Extinguisher_Unit_Price,Fire_Extinguisher_Total_Price,Exit_Sign_Qty,Exit_Sign_Unit_Price,Exit_Sign_Total_Price,Emergency_Light_Qty,Emergency_Light_Unit_Price,Emergency_Light_Total_Price,Wind_Speed
Configuration	Type	Width (m)	Length (m)	Area (m2)	Hire Unit Rate	Total Hire Rate	Labour Rate	Labour Total 	Number of Legs	Weight per Leg (kg)	Total Weight (kg)	Weight Size (KG) 	Total Number of weights 	Cost per weight 	Labour Per Weight 	Fire Extinguisher Qty	Fire Extinguisher Unit Price	Fire Extinguisher Total Price	Exit Sign Qty	Exit Sign Unit Price	Exit Sign Total Price	Emergency Light Qty	Emergency Light Unit Price	Emergency Light Total Price	Wind Speed 
15m x 25m	Structure	15	25	375	 $15.45 	 $5,793.75 	40%	 $2,317.50 	12	1200	14400	1200	12	 $88.20 	 $22.05 	4	$22.05	$88.20	2	$16.55	$33.10	2	$44.10	$88.20	1
15m x 30m	Structure	15	30	450	 $15.45 	 $6,952.50 	40%	 $2,781.00 	14	1200	16800	1200	14	 $88.20 	 $22.05 	5	$22.05	$110.25	2	$16.55	$33.10	2	$44.10	$88.20	1
20m x 5m	Structure	20	5	100	 $23.00 	 $2,300.00 	55%	 $1,265.00 	14	2400	33600	1200	28	 $88.20 	 $22.05 	1	$22.05	$22.05	1	$16.55	$16.55	0	$44.10	$0.00	1
20m x 10m	Structure	20	10	200	 $19.95 	 $3,990.00 	40%	 $1,596.00 	16	2400	38400	1200	32	 $88.20 	 $22.05 	2	$22.05	$44.10	2	$16.55	$33.10	2	$44.10	$88.20	1
20m x 15m	Structure	20	15	300	 $19.95 	 $5,985.00 	40%	 $2,394.00 	18	2400	43200	1200	36	 $88.20 	 $22.05 	3	$22.05	$66.15	2	$16.55	$33.10	2	$44.10	$88.20	1
20m x 20m	Structure	20	20	400	 $19.95 	 $7,980.00 	40%	 $3,192.00 	20	2400	48000	1200	40	 $88.20 	 $22.05 	4	$22.05	$88.20	2	$16.55	$33.10	2	$44.10	$88.20	1
20m x 25m	Structure	20	25	500	 $19.95 	 $9,975.00 	40%	 $3,990.00 	22	2400	52800	1200	44	 $88.20 	 $22.05 	5	$22.05	$110.25	2	$16.55	$33.10	2	$44.10	$88.20	1
20m x 30m	Structure	20	30	600	 $19.95 	 $11,970.00 	40%	 $4,788.00 	24	2400	57600	1200	48	 $88.20 	 $22.05 	6	$22.05	$132.30	2	$16.55	$33.10	2	$44.10	$88.20	1
20m x 35m	Structure	20	35	700	 $19.95 	 $13,965.00 	40%	 $5,586.00 	26	2400	62400	1200	52	 $88.20 	 $22.05 	7	$22.05	$154.35	2	$16.55	$33.10	2	$44.10	$88.20	1
20m x 40m	Structure	20	40	800	 $19.95 	 $15,960.00 	40%	 $6,384.00 	28	2400	67200	1200	56	 $88.20 	 $22.05 	8	$22.05	$176.40	2	$16.55	$33.10	2	$44.10	$88.20	1
